City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
Lahore,2.00 €,9.32 €,4.05 €,2.70 €,4.59 €,1.56 €,0.23 €,0.17 €,Edit,2.37 €,0.41 €,0.37 €,0.81 €,3.01 €,0.88 €,1.45 €,0.39 €,0.22 €,0.25 €,0.20 €,0.16 €,0.14 €,0.24 €,0.31 €,1.22 €,1.29 €,2.19 €,1.35 €,Edit,0.22 €,5.41 €,0.81 €,0.26 €,1.62 €,2.20 €,"12,002.61 €","17,204.13 €",Edit,68.15 €,0.01 €,17.20 €,Edit,16.61 €,8.13 €,3.78 €,Edit,50.04 €,"1,418.26 €",Edit,14.46 €,25.83 €,40.62 €,32.04 €,Edit,125.94 €,79.56 €,247.95 €,172.04 €,Edit,56.07 €,34.67 €,Edit,186.96 €,15.63,Pakistan
Paris,15.00 €,60.00 €,9.00 €,7.00 €,6.00 €,3.73 €,3.06 €,2.25 €,Edit,4.15 €,1.67 €,1.03 €,3.72 €,7.69 €,5.72 €,9.30 €,1.36 €,0.98 €,1.33 €,1.47 €,1.00 €,1.22 €,1.53 €,0.93 €,7.75 €,1.99 €,2.57 €,10.00 €,Edit,1.90 €,75.00 €,5.00 €,2.41 €,41.05 €,5.70 €,"20,650.00 €","25,315.38 €",Edit,173.19 €,0.22 €,26.98 €,Edit,37.06 €,19.34 €,11.00 €,Edit,776.76 €,"14,400.00 €",Edit,93.46 €,38.20 €,91.62 €,147.03 €,Edit,"1,216.20 €",858.93 €,"2,857.81 €","1,798.92 €",Edit,"1,244.96 €",941.93 €,Edit,"2,728.12 €",1.14,France
London,17.24 €,68.97 €,6.90 €,5.75 €,5.29 €,3.31 €,1.70 €,1.28 €,Edit,4.11 €,1.03 €,0.79 €,2.51 €,3.33 €,3.23 €,5.20 €,1.15 €,0.60 €,1.05 €,1.34 €,0.65 €,0.59 €,0.90 €,0.98 €,9.20 €,2.08 €,2.29 €,14.02 €,Edit,3.22 €,180.27 €,3.45 €,3.14 €,33.11 €,5.19 €,"26,783.59 €","26,250.92 €",Edit,212.36 €,0.15 €,36.29 €,Edit,51.49 €,12.34 €,15.23 €,Edit,"1,654.97 €","20,640.34 €",Edit,68.40 €,33.97 €,79.74 €,94.52 €,Edit,"1,956.42 €","1,449.64 €","3,775.97 €","2,371.49 €",Edit,"1,165.24 €",595.54 €,Edit,"3,451.40 €",2.58,United Kingdom
Tianjin,3.85 €,20.56 €,4.50 €,0.77 €,1.93 €,4.11 €,0.38 €,0.25 €,Edit,5.25 €,1.20 €,0.35 €,1.31 €,4.95 €,1.49 €,4.14 €,0.41 €,0.43 €,0.73 €,0.35 €,0.18 €,0.19 €,0.86 €,0.55 €,6.42 €,0.71 €,1.73 €,3.21 €,Edit,0.39 €,16.20 €,1.38 €,0.45 €,5.65 €,3.27 €,"17,989.50 €","17,732.50 €",Edit,62.59 €,0.02 €,10.91 €,Edit,59.43 €,16.69 €,5.46 €,Edit,542.90 €,"17,239.93 €",Edit,55.23 €,36.15 €,88.83 €,98.47 €,Edit,354.97 €,229.46 €,859.09 €,393.52 €,Edit,643.30 €,221.51 €,Edit,655.33 €,5.08,China
Lima,3.28 €,17.49 €,3.94 €,1.75 €,2.62 €,2.01 €,0.61 €,0.44 €,Edit,3.47 €,1.15 €,0.34 €,1.42 €,2.88 €,1.76 €,2.97 €,0.55 €,0.40 €,0.31 €,0.41 €,0.28 €,0.28 €,0.51 €,0.64 €,6.56 €,1.23 €,1.70 €,3.94 €,Edit,0.44 €,18.69 €,1.64 €,2.29 €,5.47 €,3.10 €,"12,244.45 €","14,458.71 €",Edit,58.66 €,0.13 €,25.77 €,Edit,35.87 €,8.83 €,5.25 €,Edit,198.69 €,"4,778.81 €",Edit,37.65 €,24.22 €,60.78 €,62.52 €,Edit,441.82 €,251.77 €,717.68 €,429.44 €,Edit,141.35 €,93.32 €,Edit,376.04 €,9.28,Peru
Hyderabad,2.25 €,11.23 €,3.37 €,1.35 €,2.41 €,1.34 €,0.36 €,0.18 €,Edit,2.38 €,0.40 €,0.26 €,0.74 €,2.71 €,1.33 €,2.24 €,0.83 €,0.24 €,0.35 €,0.19 €,0.19 €,0.20 €,0.62 €,0.32 €,8.98 €,1.52 €,2.51 €,3.71 €,Edit,0.34 €,11.23 €,0.56 €,0.36 €,1.12 €,3.57 €,"11,228.08 €","19,330.79 €",Edit,32.01 €,0.01 €,8.06 €,Edit,18.66 €,6.04 €,2.25 €,Edit,49.81 €,"1,927.49 €",Edit,24.54 €,24.35 €,38.07 €,30.40 €,Edit,157.04 €,87.30 €,397.23 €,216.22 €,Edit,88.88 €,48.34 €,Edit,421.16 €,9.19,India
Bogota,2.90 €,17.83 €,4.01 €,1.11 €,2.01 €,1.02 €,0.58 €,0.51 €,Edit,2.32 €,0.58 €,0.37 €,1.36 €,1.20 €,1.18 €,1.74 €,0.74 €,0.38 €,0.36 €,0.37 €,0.30 €,0.29 €,0.50 €,0.59 €,6.68 €,0.70 €,1.42 €,1.78 €,Edit,0.56 €,32.55 €,1.11 €,2.15 €,4.46 €,2.05 €,"16,043.49 €","16,518.47 €",Edit,62.65 €,0.05 €,22.38 €,Edit,19.42 €,8.10 €,3.34 €,Edit,223.52 €,"5,942.63 €",Edit,38.71 €,27.61 €,60.72 €,53.16 €,Edit,375.24 €,229.88 €,719.44 €,403.05 €,Edit,136.70 €,101.76 €,Edit,273.78 €,11.77,Colombia
Nagoya,6.09 €,30.45 €,4.95 €,2.78 €,4.57 €,3.13 €,1.17 €,0.82 €,Edit,5.89 €,1.55 €,2.59 €,1.89 €,8.29 €,4.18 €,9.06 €,2.15 €,1.17 €,1.95 €,2.24 €,1.73 €,1.12 €,1.67 €,0.86 €,9.90 €,1.99 €,2.11 €,4.11 €,Edit,1.83 €,76.12 €,3.81 €,5.51 €,22.83 €,4.19 €,"19,028.96 €","27,401.70 €",Edit,198.85 €,0.33 €,32.25 €,Edit,65.16 €,24.10 €,13.70 €,Edit,672.36 €,"13,320.27 €",Edit,55.56 €,31.71 €,56.61 €,113.09 €,Edit,670.91 €,450.35 €,"3,316.48 €","3,425.21 €",Edit,331.38 €,190.88 €,Edit,"1,903.65 €",0.95,Japan
Wuhan,2.57 €,19.27 €,4.88 €,1.03 €,1.93 €,2.98 €,0.39 €,0.22 €,Edit,5.67 €,2.25 €,0.36 €,2.03 €,7.19 €,1.56 €,7.19 €,0.73 €,0.44 €,0.77 €,0.65 €,0.43 €,0.55 €,0.96 €,0.80 €,7.71 €,0.87 €,1.51 €,2.57 €,Edit,0.39 €,17.35 €,1.28 €,0.41 €,6.17 €,3.64 €,"17,989.50 €","17,064.32 €",Edit,40.08 €,0.03 €,14.50 €,Edit,29.99 €,7.45 €,4.50 €,Edit,394.67 €,"47,864.91 €",Edit,52.08 €,37.39 €,85.65 €,61.00 €,Edit,255.57 €,170.72 €,587.41 €,359.79 €,Edit,349.85 €,156.68 €,Edit,644.45 €,4.83,China
Chicago,12.48 €,62.40 €,6.66 €,4.99 €,5.82 €,3.53 €,1.67 €,1.30 €,Edit,2.52 €,2.21 €,1.53 €,1.82 €,4.17 €,3.37 €,4.56 €,1.50 €,0.62 €,1.20 €,1.48 €,0.97 €,0.94 €,1.50 €,1.56 €,9.98 €,2.23 €,2.38 €,12.06 €,Edit,2.08 €,87.35 €,2.70 €,2.16 €,21.63 €,2.44 €,"19,299.16 €","18,154.39 €",Edit,129.88 €,0.24 €,50.23 €,Edit,48.63 €,17.29 €,10.82 €,Edit,"1,189.98 €","18,416.92 €",Edit,40.34 €,33.52 €,69.02 €,91.17 €,Edit,"1,532.43 €",994.98 €,"2,972.81 €","1,764.94 €",Edit,369.01 €,162.12 €,Edit,"4,089.69 €",3.73,United States
Luanda,15.21 €,56.57 €,8.29 €,4.99 €,1.44 €,2.47 €,2.83 €,1.01 €,Edit,7.54 €,2.72 €,1.30 €,3.60 €,2.02 €,3.92 €,4.69 €,1.35 €,0.98 €,1.54 €,0.90 €,1.20 €,0.99 €,2.16 €,1.43 €,10.14 €,1.14 €,0.94 €,1.46 €,Edit,0.34 €,16.64 €,2.32 €,1.19 €,6.96 €,1.27 €,"8,588.27 €","14,843.51 €",Edit,212.59 €,0.18 €,28.06 €,Edit,60.24 €,30.22 €,4.22 €,Edit,550.45 €,"1,684.38 €",Edit,51.47 €,42.86 €,67.47 €,73.68 €,Edit,178.39 €,118.32 €,"8,302.26 €","7,487.55 €",Edit,463.74 €,363.26 €,Edit,"1,371.33 €",22.00,Angola
Kuala-Lumpur,2.74 €,16.25 €,3.05 €,3.05 €,4.06 €,2.27 €,0.53 €,0.30 €,Edit,5.22 €,0.59 €,0.47 €,1.29 €,3.66 €,1.29 €,3.24 €,0.91 €,0.51 €,0.89 €,0.44 €,0.34 €,0.37 €,0.80 €,0.48 €,15.24 €,2.08 €,3.15 €,3.66 €,Edit,0.60 €,20.31 €,0.71 €,0.98 €,3.25 €,1.48 €,"32,502.01 €","26,084.00 €",Edit,43.44 €,0.05 €,24.49 €,Edit,33.27 €,5.86 €,3.35 €,Edit,150.80 €,"7,343.27 €",Edit,40.68 €,22.75 €,58.70 €,53.28 €,Edit,385.96 €,237.09 €,737.02 €,459.20 €,Edit,214.05 €,111.72 €,Edit,887.92 €,4.24,Malaysia
Hanoi,1.44 €,14.36 €,4.31 €,0.72 €,1.44 €,1.35 €,0.44 €,0.28 €,Edit,4.41 €,0.54 €,0.32 €,1.32 €,3.78 €,1.34 €,4.18 €,1.15 €,0.36 €,0.66 €,0.36 €,0.41 €,0.38 €,0.35 €,0.44 €,8.44 €,0.64 €,1.11 €,1.08 €,Edit,0.25 €,7.18 €,0.39 €,0.69 €,1.08 €,2.61 €,"35,906.63 €","29,303.40 €",Edit,50.67 €,0.06 €,7.92 €,Edit,18.67 €,6.03 €,3.23 €,Edit,156.45 €,"9,118.52 €",Edit,27.89 €,23.09 €,68.85 €,57.29 €,Edit,280.13 €,196.35 €,612.89 €,388.88 €,Edit,164.03 €,87.05 €,Edit,353.59 €,8.89,Vietnam
Pune,2.81 €,12.35 €,3.37 €,2.25 €,3.59 €,1.59 €,0.44 €,0.18 €,Edit,2.29 €,0.37 €,0.27 €,0.80 €,2.19 €,1.21 €,2.28 €,0.84 €,0.25 €,0.42 €,0.20 €,0.20 €,0.20 €,0.56 €,0.33 €,5.61 €,1.86 €,2.84 €,3.82 €,Edit,0.28 €,13.47 €,0.56 €,0.33 €,1.12 €,3.74 €,"11,228.08 €","18,746.88 €",Edit,25.72 €,0.01 €,10.57 €,Edit,16.57 €,5.52 €,3.26 €,Edit,64.71 €,"1,564.45 €",Edit,27.05 €,30.12 €,41.93 €,31.56 €,Edit,187.22 €,118.89 €,414.56 €,273.98 €,Edit,137.44 €,72.25 €,Edit,442.67 €,8.51,India
Chongqing,2.31 €,19.27 €,5.14 €,0.71 €,2.57 €,3.73 €,0.44 €,0.28 €,Edit,6.32 €,1.33 €,0.60 €,1.80 €,5.83 €,1.92 €,4.86 €,0.68 €,0.45 €,0.60 €,0.49 €,0.27 €,0.41 €,0.39 €,0.61 €,6.42 €,0.58 €,1.33 €,3.21 €,Edit,0.26 €,15.64 €,1.28 €,0.53 €,2.78 €,3.36 €,"18,631.98 €","16,062.05 €",Edit,40.80 €,0.02 €,17.62 €,Edit,26.98 €,8.57 €,4.82 €,Edit,313.53 €,"23,129.35 €",Edit,48.26 €,24.54 €,62.39 €,69.58 €,Edit,276.27 €,159.70 €,444.60 €,314.82 €,Edit,243.23 €,129.99 €,Edit,780.16 €,5.25,China
Changchun,2.31 €,19.27 €,4.63 €,0.71 €,2.57 €,4.20 €,0.35 €,0.21 €,Edit,5.35 €,2.21 €,0.63 €,1.48 €,4.37 €,1.15 €,5.54 €,0.60 €,0.38 €,0.44 €,0.42 €,0.40 €,0.31 €,0.59 €,0.80 €,6.42 €,0.69 €,1.80 €,2.18 €,Edit,0.13 €,22.49 €,0.77 €,0.41 €,3.08 €,3.42 €,"18,953.22 €","18,109.43 €",Edit,54.61 €,0.02 €,10.28 €,Edit,44.26 €,?,7.71 €,Edit,342.66 €,"12,849.64 €",Edit,64.25 €,51.36 €,81.38 €,115.65 €,Edit,192.74 €,134.92 €,481.86 €,269.84 €,Edit,161.16 €,95.50 €,Edit,492.57 €,4.90,China
Ningbo,2.57 €,19.27 €,4.88 €,0.64 €,1.93 €,2.97 €,0.35 €,0.24 €,Edit,8.27 €,1.31 €,0.47 €,1.25 €,6.61 €,1.78 €,3.93 €,0.95 €,0.76 €,0.85 €,0.76 €,0.49 €,0.49 €,0.81 €,0.58 €,9.64 €,0.43 €,1.35 €,2.57 €,Edit,0.26 €,12.85 €,1.48 €,0.49 €,?,4.01 €,"19,274.46 €","22,808.11 €",Edit,29.64 €,0.02 €,9.23 €,Edit,29.13 €,8.99 €,6.42 €,Edit,472.22 €,"11,725.30 €",Edit,56.97 €,28.91 €,78.92 €,86.28 €,Edit,244.12 €,214.77 €,567.53 €,396.20 €,Edit,393.94 €,217.26 €,Edit,893.92 €,4.66,China
Nanjing,3.21 €,19.27 €,4.99 €,1.28 €,2.57 €,2.90 €,0.45 €,0.25 €,Edit,7.62 €,0.96 €,0.38 €,1.54 €,4.37 €,1.85 €,4.84 €,0.64 €,0.45 €,0.90 €,0.51 €,0.32 €,0.36 €,0.51 €,0.57 €,11.56 €,0.89 €,1.72 €,3.33 €,Edit,0.45 €,17.99 €,1.41 €,0.62 €,5.14 €,3.51 €,"19,852.70 €","18,044.57 €",Edit,49.60 €,0.02 €,9.08 €,Edit,49.87 €,15.53 €,5.14 €,Edit,385.49 €,"14,777.09 €",Edit,65.38 €,31.94 €,75.48 €,101.17 €,Edit,427.71 €,239.86 €,982.08 €,486.45 €,Edit,567.04 €,313.36 €,Edit,876.67 €,5.15,China
Hefei,3.21 €,16.70 €,4.50 €,0.74 €,2.25 €,3.05 €,0.42 €,0.26 €,Edit,7.17 €,1.24 €,0.35 €,1.33 €,3.79 €,1.26 €,3.35 €,0.51 €,0.36 €,0.37 €,0.40 €,0.19 €,0.23 €,0.51 €,0.90 €,14.13 €,0.77 €,1.93 €,2.57 €,Edit,0.26 €,12.85 €,1.03 €,0.52 €,3.85 €,3.31 €,"18,310.74 €","21,416.07 €",Edit,73.72 €,0.01 €,16.06 €,Edit,90.30 €,6.42 €,4.50 €,Edit,153.48 €,"7,067.30 €",Edit,57.82 €,34.27 €,94.23 €,64.25 €,Edit,250.57 €,154.20 €,497.92 €,382.28 €,Edit,355.14 €,220.85 €,Edit,"1,011.91 €",5.27,China
Khartoum,2.50 €,11.50 €,4.16 €,2.08 €,2.50 €,1.42 €,0.35 €,0.18 €,Edit,2.69 €,1.00 €,0.60 €,0.89 €,1.95 €,1.95 €,2.52 €,5.40 €,0.20 €,0.79 €,1.78 €,0.45 €,0.50 €,0.40 €,0.36 €,12.48 €,0.83 €,1.66 €,1.75 €,Edit,0.08 €,16.64 €,1.25 €,0.68 €,4.99 €,4.99 €,"27,454.35 €","27,340.73 €",Edit,20.57 €,0.02 €,83.14 €,Edit,11.88 €,9.95 €,1.11 €,Edit,57.22 €,"1,172.88 €",Edit,18.20 €,88.44 €,40.42 €,39.33 €,Edit,346.96 €,184.13 €,577.25 €,389.90 €,Edit,73.00 €,47.23 €,Edit,82.88 €,12.00,Sudan
Foshan,2.57 €,19.27 €,3.85 €,0.77 €,1.93 €,2.57 €,0.43 €,0.26 €,Edit,4.86 €,1.13 €,0.29 €,1.91 €,5.83 €,1.19 €,4.53 €,0.70 €,0.57 €,0.82 €,0.47 €,0.35 €,0.41 €,0.26 €,0.39 €,6.42 €,0.47 €,1.80 €,3.21 €,Edit,0.26 €,11.59 €,1.28 €,0.54 €,3.85 €,3.36 €,"19,274.46 €","16,453.97 €",Edit,46.15 €,0.02 €,13.49 €,Edit,15.42 €,11.56 €,5.46 €,Edit,395.48 €,"12,509.77 €",Edit,57.82 €,12.85 €,69.49 €,25.70 €,Edit,244.14 €,154.20 €,610.36 €,321.24 €,Edit,326.29 €,220.85 €,Edit,822.38 €,5.29,China
Xi'an,2.57 €,19.27 €,4.18 €,0.64 €,1.99 €,3.84 €,0.35 €,0.26 €,Edit,6.08 €,0.93 €,0.55 €,1.54 €,4.35 €,1.82 €,4.30 €,0.55 €,0.35 €,0.72 €,0.57 €,0.34 €,0.36 €,0.90 €,0.48 €,10.28 €,0.45 €,1.33 €,2.63 €,Edit,0.26 €,14.13 €,1.16 €,0.41 €,3.85 €,3.59 €,"16,062.05 €","18,846.14 €",Edit,48.75 €,0.03 €,12.85 €,Edit,22.03 €,9.62 €,4.50 €,Edit,317.57 €,"8,609.26 €",Edit,47.36 €,34.49 €,68.84 €,68.84 €,Edit,271.45 €,171.33 €,486.45 €,317.57 €,Edit,232.83 €,141.40 €,Edit,664.57 €,6.10,China
Shenyang,2.89 €,17.35 €,3.63 €,0.51 €,2.06 €,3.05 €,0.37 €,0.24 €,Edit,7.30 €,1.07 €,0.47 €,1.77 €,6.41 €,1.28 €,6.02 €,0.76 €,0.47 €,0.93 €,0.66 €,0.64 €,0.30 €,0.71 €,0.51 €,12.21 €,0.47 €,2.28 €,3.21 €,Edit,0.26 €,12.21 €,1.03 €,0.52 €,7.71 €,3.43 €,"19,480.06 €","17,381.28 €",Edit,60.91 €,0.03 €,13.28 €,Edit,19.81 €,1.61 €,4.50 €,Edit,343.09 €,"12,207.16 €",Edit,72.81 €,68.53 €,83.52 €,107.08 €,Edit,254.24 €,189.07 €,475.44 €,304.11 €,Edit,214.39 €,133.81 €,Edit,684.24 €,5.13,China
Santiago,7.02 €,40.97 €,5.85 €,3.51 €,3.51 €,2.62 €,1.10 €,0.94 €,Edit,3.67 €,1.01 €,0.54 €,2.52 €,3.52 €,1.99 €,3.77 €,0.65 €,0.56 €,0.61 €,0.62 €,0.39 €,0.49 €,0.85 €,1.08 €,4.68 €,1.12 €,2.02 €,4.68 €,Edit,0.94 €,46.82 €,0.35 €,1.88 €,9.83 €,3.61 €,"15,615.89 €","15,540.87 €",Edit,147.77 €,0.13 €,29.75 €,Edit,31.95 €,16.60 €,5.85 €,Edit,319.10 €,"5,964.52 €",Edit,46.96 €,27.68 €,49.02 €,69.30 €,Edit,392.00 €,358.54 €,750.22 €,641.10 €,Edit,213.35 €,187.34 €,Edit,560.76 €,4.00,Chile
Riyadh,5.55 €,33.27 €,5.55 €,1.11 €,1.33 €,2.88 €,0.62 €,0.22 €,Edit,4.55 €,0.56 €,0.69 €,1.72 €,2.49 €,2.74 €,4.27 €,0.72 €,0.56 €,0.59 €,0.57 €,0.38 €,0.38 €,0.85 €,0.48 €,3.55 €,1.30 €,1.42 €,6.21 €,Edit,0.70 €,44.36 €,2.22 €,1.07 €,11.09 €,1.37 €,"16,636.69 €","15,704.21 €",Edit,91.10 €,0.11 €,55.38 €,Edit,78.87 €,25.85 €,13.31 €,Edit,252.48 €,"5,580.89 €",Edit,56.12 €,53.32 €,75.82 €,78.19 €,Edit,456.83 €,251.13 €,755.66 €,483.65 €,Edit,91.12 €,68.62 €,Edit,"1,558.97 €",4.45,Saudi Arabia
Dar-Es-Salaam,1.78 €,17.85 €,5.35 €,0.89 €,1.43 €,1.58 €,0.31 €,0.21 €,Edit,3.36 €,0.45 €,0.38 €,1.52 €,2.79 €,1.40 €,1.35 €,1.02 €,0.41 €,0.44 €,0.41 €,0.30 €,0.47 €,0.54 €,0.37 €,5.35 €,0.89 €,1.37 €,1.27 €,Edit,0.18 €,3.57 €,1.78 €,1.72 €,2.67 €,3.00 €,"15,171.30 €","5,906.35 €",Edit,80.57 €,0.04 €,55.93 €,Edit,43.28 €,14.09 €,3.57 €,Edit,358.45 €,"4,870.72 €",Edit,17.40 €,25.58 €,52.65 €,37.23 €,Edit,393.60 €,356.65 €,949.85 €,828.17 €,Edit,51.01 €,59.69 €,Edit,202.83 €,19.67,Tanzania
Hangzhou,3.21 €,17.35 €,4.50 €,0.64 €,2.57 €,3.25 €,0.40 €,0.27 €,Edit,7.92 €,1.33 €,0.38 €,1.82 €,6.46 €,1.69 €,4.95 €,0.79 €,0.60 €,0.62 €,0.38 €,0.34 €,0.40 €,0.36 €,0.64 €,11.44 €,0.84 €,2.23 €,2.57 €,Edit,0.39 €,14.13 €,1.67 €,0.56 €,4.82 €,3.29 €,"19,274.46 €","16,942.25 €",Edit,40.90 €,0.03 €,11.00 €,Edit,25.06 €,13.81 €,6.42 €,Edit,376.62 €,"22,395.09 €",Edit,47.75 €,29.54 €,73.35 €,65.68 €,Edit,450.54 €,254.03 €,"1,054.74 €",558.47 €,Edit,652.84 €,338.35 €,Edit,"1,005.91 €",4.89,China
Miami,12.48 €,58.24 €,6.66 €,4.99 €,6.66 €,3.56 €,1.62 €,1.24 €,Edit,3.22 €,2.29 €,1.93 €,2.37 €,4.65 €,3.94 €,5.41 €,1.96 €,0.61 €,1.54 €,1.70 €,0.89 €,0.83 €,1.64 €,1.52 €,9.15 €,2.17 €,2.27 €,6.24 €,Edit,2.08 €,93.59 €,2.50 €,2.16 €,19.97 €,2.03 €,"19,134.85 €","17,596.61 €",Edit,118.11 €,0.16 €,55.21 €,Edit,44.55 €,12.48 €,12.48 €,Edit,708.35 €,"17,803.73 €",Edit,40.16 €,30.86 €,71.07 €,85.72 €,Edit,"1,566.05 €","1,117.82 €","3,039.87 €","2,111.13 €",Edit,366.02 €,214.45 €,Edit,"2,814.44 €",3.86,United States
Surat,2.81 €,7.86 €,3.37 €,1.96 €,4.21 €,1.42 €,0.37 €,0.17 €,Edit,2.45 €,0.46 €,0.28 €,0.86 €,2.48 €,1.49 €,1.90 €,0.58 €,0.19 €,0.37 €,0.19 €,0.16 €,0.14 €,0.42 €,0.33 €,11.23 €,1.43 €,2.41 €,3.37 €,Edit,0.18 €,5.05 €,0.56 €,0.27 €,1.12 €,3.11 €,"11,228.08 €","17,566.95 €",Edit,21.34 €,0.01 €,6.20 €,Edit,19.44 €,5.89 €,2.81 €,Edit,41.70 €,"1,003.51 €",Edit,24.02 €,30.96 €,40.49 €,34.28 €,Edit,111.31 €,99.86 €,204.45 €,155.05 €,Edit,54.98 €,35.11 €,Edit,305.17 €,8.65,India
Baghdad,3.83 €,19.14 €,5.63 €,1.41 €,3.33 €,1.47 €,0.35 €,0.18 €,Edit,3.69 €,0.65 €,0.53 €,1.46 €,1.54 €,1.39 €,4.21 €,0.45 €,0.40 €,0.43 €,0.26 €,0.27 €,0.27 €,0.51 €,0.42 €,10.48 €,1.15 €,1.61 €,1.74 €,Edit,0.35 €,20.97 €,2.80 €,2.24 €,8.32 €,1.34 €,"11,846.11 €","14,353.15 €",Edit,122.32 €,0.08 €,44.97 €,Edit,29.62 €,12.43 €,6.99 €,Edit,101.87 €,"1,521.52 €",Edit,24.42 €,26.38 €,55.10 €,41.63 €,Edit,388.30 €,248.89 €,676.56 €,420.42 €,Edit,143.59 €,68.82 €,Edit,481.03 €,8.50,Iraq
Qingdao,2.31 €,17.99 €,4.24 €,0.77 €,1.54 €,2.35 €,0.39 €,0.22 €,Edit,7.64 €,0.69 €,0.31 €,1.05 €,5.22 €,1.43 €,3.79 €,0.51 €,0.42 €,0.51 €,0.45 €,0.25 €,0.22 €,0.41 €,0.49 €,4.82 €,0.67 €,1.47 €,1.99 €,Edit,0.26 €,19.27 €,1.28 €,0.41 €,3.85 €,3.29 €,"15,419.57 €","14,991.25 €",Edit,36.54 €,0.02 €,9.85 €,Edit,23.61 €,8.89 €,6.42 €,Edit,224.87 €,"10,334.78 €",Edit,40.02 €,22.67 €,60.74 €,71.59 €,Edit,355.07 €,163.61 €,811.54 €,318.39 €,Edit,490.59 €,191.00 €,Edit,772.83 €,5.30,China
Dallas,12.48 €,49.92 €,6.66 €,4.16 €,5.82 €,3.60 €,1.71 €,1.25 €,Edit,2.52 €,2.06 €,1.37 €,1.77 €,3.27 €,3.16 €,4.88 €,1.27 €,0.65 €,1.02 €,1.03 €,0.87 €,0.80 €,1.06 €,1.31 €,9.98 €,2.35 €,2.20 €,6.24 €,Edit,2.50 €,79.87 €,2.16 €,1.50 €,17.47 €,1.63 €,"18,718.87 €","17,212.56 €",Edit,135.03 €,0.12 €,50.42 €,Edit,33.85 €,7.07 €,9.98 €,Edit,881.07 €,"13,015.38 €",Edit,39.67 €,34.24 €,61.31 €,75.31 €,Edit,"1,265.73 €",918.59 €,"2,485.09 €","1,468.92 €",Edit,234.17 €,128.77 €,Edit,"4,341.91 €",3.77,United States
Suzhou,3.21 €,25.70 €,4.75 €,1.93 €,3.60 €,3.69 €,0.87 €,0.49 €,Edit,6.60 €,1.93 €,0.38 €,1.71 €,4.91 €,1.61 €,6.24 €,0.98 €,0.63 €,0.79 €,0.55 €,0.42 €,0.41 €,0.61 €,0.64 €,7.71 €,0.51 €,1.35 €,2.89 €,Edit,0.26 €,10.28 €,1.61 €,0.56 €,3.85 €,3.53 €,"19,274.46 €","20,328.13 €",Edit,46.23 €,0.02 €,10.56 €,Edit,30.20 €,14.46 €,5.14 €,Edit,503.28 €,"16,961.53 €",Edit,44.59 €,37.25 €,72.26 €,77.10 €,Edit,444.92 €,266.63 €,870.56 €,532.34 €,Edit,470.04 €,281.39 €,Edit,930.07 €,5.30,China
