City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid range Restaurant, Three course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Markets,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),Transportation,One way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed Rate"
Bogota,2.90 €,17.83 €,4.01 €,1.11 €,2.01 €,1.02 €,0.58 €,0.51 €,Edit,0.61 €,0.64 €,0.82 €,1.36 €,2.64 €,2.59 €,3.84 €,1.64 €,0.84 €,0.79 €,0.82 €,0.65 €,0.65 €,0.50 €,0.59 €,6.68 €,0.70 €,1.42 €,1.78 €,Edit,0.56 €,32.55 €,1.11 €,1.34 €,4.46 €,0.54 €,"16,043.23 €","16,518.20 €",Edit,62.64 €,0.05 €,22.38 €,Edit,19.42 €,8.10 €,3.34 €,Edit,223.52 €,"5,942.53 €",Edit,38.71 €,27.61 €,60.72 €,53.16 €,Edit,375.23 €,229.88 €,719.43 €,403.05 €,Edit,"1,471.43 €","1,095.31 €",Edit,273.78 €,11.77
Chennai,1.35 €,10.67 €,3.37 €,1.68 €,3.37 €,1.66 €,0.41 €,0.17 €,Edit,0.56 €,0.41 €,0.60 €,0.71 €,6.18 €,2.53 €,5.36 €,2.00 €,0.71 €,1.00 €,0.39 €,0.46 €,0.47 €,0.42 €,0.33 €,5.61 €,1.60 €,2.75 €,3.65 €,Edit,0.22 €,11.23 €,1.12 €,0.17 €,1.12 €,0.94 €,"11,228.08 €","21,343.74 €",Edit,32.76 €,0.01 €,9.74 €,Edit,16.36 €,5.54 €,2.25 €,Edit,61.09 €,"1,384.04 €",Edit,25.08 €,26.85 €,35.02 €,29.63 €,Edit,157.98 €,89.37 €,403.23 €,223.60 €,Edit,"1,579.81 €",608.22 €,Edit,389.93 €,9.24
Dhaka,1.52 €,11.78 €,5.40 €,3.68 €,4.91 €,1.96 €,0.27 €,0.16 €,Edit,0.73 €,0.54 €,0.60 €,1.03 €,6.64 €,2.59 €,5.82 €,1.64 €,0.90 €,1.59 €,0.65 €,0.33 €,0.52 €,0.28 €,0.27 €,6.87 €,2.06 €,4.91 €,2.75 €,Edit,0.44 €,20.62 €,0.98 €,0.34 €,2.16 €,0.89 €,"29,460.44 €","26,432.93 €",Edit,44.23 €,0.01 €,26.70 €,Edit,18.66 €,11.43 €,4.91 €,Edit,44.64 €,"1,910.39 €",Edit,21.72 €,25.13 €,56.68 €,41.60 €,Edit,130.47 €,76.16 €,356.23 €,203.72 €,Edit,"1,180.35 €",611.62 €,Edit,240.22 €,10.68
Essen,12.00 €,52.50 €,8.00 €,3.50 €,3.00 €,2.77 €,2.17 €,1.38 €,Edit,0.79 €,1.03 €,2.03 €,2.26 €,7.29 €,6.03 €,8.93 €,2.35 €,1.85 €,1.82 €,2.42 €,0.96 €,1.46 €,0.81 €,0.22 €,3.99 €,0.54 €,1.27 €,6.50 €,Edit,2.80 €,70.29 €,3.50 €,2.00 €,31.80 €,1.42 €,"17,500.00 €","19,506.67 €",Edit,184.91 €,0.14 €,32.50 €,Edit,19.56 €,21.75 €,12.00 €,Edit,290.00 €,"10,200.00 €",Edit,70.62 €,51.41 €,63.75 €,85.61 €,Edit,580.00 €,422.50 €,"1,085.71 €",948.75 €,Edit,"2,225.00 €","2,450.00 €",Edit,"2,111.43 €",1.93
Tianjin,3.85 €,20.56 €,4.50 €,0.77 €,1.93 €,4.11 €,0.38 €,0.25 €,Edit,1.39 €,1.32 €,0.77 €,1.31 €,10.92 €,3.28 €,9.12 €,0.90 €,0.94 €,1.61 €,0.77 €,0.40 €,0.42 €,0.86 €,0.55 €,6.42 €,0.71 €,1.73 €,3.21 €,Edit,0.39 €,16.20 €,1.38 €,0.28 €,5.65 €,0.86 €,"17,989.50 €","17,732.50 €",Edit,62.59 €,0.02 €,10.91 €,Edit,59.43 €,16.69 €,5.46 €,Edit,542.90 €,"17,239.93 €",Edit,55.23 €,36.15 €,88.83 €,98.47 €,Edit,354.97 €,229.46 €,859.09 €,393.52 €,Edit,"6,924.53 €","2,384.32 €",Edit,655.33 €,5.08
Taipei,3.58 €,23.89 €,4.41 €,1.64 €,2.54 €,2.78 €,0.84 €,0.66 €,Edit,2.80 €,1.65 €,2.67 €,2.23 €,19.76 €,9.29 €,17.60 €,4.63 €,1.86 €,2.19 €,2.77 €,2.41 €,1.82 €,1.59 €,1.08 €,11.94 €,1.53 €,1.90 €,3.58 €,Edit,0.67 €,38.22 €,2.09 €,0.75 €,7.47 €,0.83 €,"26,874.18 €","21,488.49 €",Edit,75.40 €,0.15 €,19.86 €,Edit,38.72 €,12.24 €,8.96 €,Edit,503.52 €,"13,658.15 €",Edit,71.84 €,29.54 €,82.41 €,104.00 €,Edit,570.42 €,384.86 €,"1,450.06 €",803.24 €,Edit,"10,618.06 €","6,476.83 €",Edit,"1,348.20 €",1.63
Lahore,2.00 €,9.33 €,4.06 €,2.70 €,4.60 €,1.56 €,0.23 €,0.17 €,Edit,0.63 €,0.45 €,0.81 €,0.81 €,6.63 €,1.94 €,3.21 €,0.86 €,0.48 €,0.55 €,0.45 €,0.34 €,0.32 €,0.24 €,0.31 €,1.22 €,1.29 €,2.19 €,1.35 €,Edit,0.22 €,5.41 €,0.81 €,0.16 €,1.62 €,0.58 €,"12,009.59 €","17,214.13 €",Edit,68.19 €,0.01 €,17.41 €,Edit,16.62 €,8.13 €,3.79 €,Edit,50.79 €,"1,419.09 €",Edit,14.39 €,25.85 €,40.65 €,32.68 €,Edit,126.02 €,78.93 €,248.09 €,172.14 €,Edit,614.29 €,379.51 €,Edit,187.00 €,15.63
Ho Chi Minh City,1.80 €,21.54 €,3.50 €,0.72 €,1.44 €,1.58 €,0.48 €,0.26 €,Edit,1.23 €,0.74 €,0.67 €,1.18 €,9.35 €,2.51 €,9.61 €,1.95 €,0.82 €,1.40 €,0.79 €,1.08 €,0.97 €,0.74 €,0.41 €,10.77 €,0.74 €,1.20 €,1.01 €,Edit,0.24 €,6.11 €,0.43 €,0.54 €,1.25 €,0.70 €,"36,539.98 €","27,841.67 €",Edit,50.94 €,0.07 €,9.77 €,Edit,18.47 €,6.66 €,3.59 €,Edit,138.80 €,"11,357.82 €",Edit,35.62 €,21.78 €,82.85 €,76.84 €,Edit,443.98 €,301.76 €,913.49 €,629.96 €,Edit,"3,051.07 €","1,192.33 €",Edit,399.82 €,9.24
Bangalore,2.25 €,11.23 €,3.37 €,1.68 €,3.37 €,1.43 €,0.41 €,0.17 €,Edit,0.49 €,0.44 €,0.64 €,0.82 €,5.71 €,2.99 €,5.42 €,1.88 €,0.56 €,0.78 €,0.34 €,0.43 €,0.52 €,0.47 €,0.32 €,8.42 €,1.61 €,2.76 €,3.93 €,Edit,0.56 €,16.28 €,0.79 €,0.22 €,1.12 €,0.98 €,"11,228.08 €","21,028.63 €",Edit,25.32 €,0.01 €,10.90 €,Edit,17.11 €,4.14 €,3.37 €,Edit,87.48 €,"2,401.82 €",Edit,23.92 €,24.52 €,39.89 €,31.82 €,Edit,196.26 €,122.15 €,482.77 €,283.66 €,Edit,"1,449.02 €",679.81 €,Edit,660.91 €,8.48
Hyderabad,2.25 €,11.23 €,3.37 €,1.29 €,2.30 €,1.34 €,0.36 €,0.18 €,Edit,0.63 €,0.44 €,0.57 €,0.74 €,5.97 €,2.96 €,4.94 €,1.83 €,0.54 €,0.77 €,0.42 €,0.42 €,0.44 €,0.62 €,0.32 €,8.98 €,1.52 €,2.51 €,3.71 €,Edit,0.34 €,11.23 €,0.56 €,0.22 €,1.12 €,0.94 €,"11,228.08 €","19,330.79 €",Edit,31.38 €,0.01 €,8.07 €,Edit,18.97 €,6.04 €,2.25 €,Edit,50.20 €,"1,847.29 €",Edit,24.57 €,24.46 €,38.31 €,30.52 €,Edit,157.66 €,88.12 €,394.98 €,215.46 €,Edit,956.36 €,521.78 €,Edit,421.16 €,9.22
Johannesburg,6.88 €,34.42 €,3.44 €,1.95 €,2.29 €,1.61 €,0.82 €,0.68 €,Edit,0.95 €,0.83 €,1.29 €,1.79 €,6.51 €,4.38 €,6.04 €,1.38 €,1.24 €,1.28 €,1.24 €,1.06 €,1.04 €,0.89 €,0.84 €,4.30 €,1.23 €,1.59 €,2.58 €,Edit,2.01 €,65.85 €,1.43 €,0.66 €,5.74 €,0.87 €,"18,931.98 €","18,228.51 €",Edit,93.81 €,0.09 €,52.76 €,Edit,26.63 €,8.89 €,5.16 €,Edit,206.56 €,"5,159.21 €",Edit,45.09 €,29.97 €,76.17 €,74.98 €,Edit,386.40 €,348.63 €,777.56 €,639.13 €,Edit,869.86 €,661.75 €,Edit,"1,100.97 €",7.98
Baghdad,3.50 €,17.49 €,5.63 €,1.41 €,3.33 €,1.46 €,0.34 €,0.18 €,Edit,0.98 €,0.73 €,1.18 €,1.46 €,3.57 €,3.07 €,9.39 €,1.00 €,0.89 €,0.95 €,0.58 €,0.59 €,0.60 €,0.53 €,0.41 €,10.48 €,1.15 €,1.61 €,1.75 €,Edit,0.38 €,20.97 €,2.80 €,1.39 €,8.32 €,0.36 €,"11,846.11 €","14,353.15 €",Edit,128.51 €,0.08 €,45.75 €,Edit,29.65 €,12.43 €,6.99 €,Edit,102.90 €,"1,521.52 €",Edit,23.55 €,27.49 €,53.97 €,41.29 €,Edit,399.94 €,249.96 €,687.96 €,437.14 €,Edit,"1,537.95 €",749.78 €,Edit,497.34 €,8.50
Toronto,13.54 €,60.91 €,7.45 €,4.74 €,5.41 €,3.06 €,1.68 €,1.35 €,Edit,2.10 €,1.90 €,2.33 €,2.24 €,9.03 €,8.98 €,10.62 €,2.68 €,1.09 €,2.28 €,2.60 €,1.81 €,1.67 €,1.65 €,1.41 €,10.83 €,2.13 €,2.38 €,10.15 €,Edit,2.20 €,105.59 €,2.88 €,1.35 €,22.35 €,0.76 €,"16,920.70 €","17,380.04 €",Edit,116.54 €,0.25 €,48.95 €,Edit,37.19 €,16.92 €,10.15 €,Edit,"1,138.21 €","18,170.12 €",Edit,50.38 €,32.72 €,73.24 €,96.44 €,Edit,"1,359.76 €","1,162.59 €","2,300.28 €","1,779.09 €",Edit,"7,822.02 €","6,213.67 €",Edit,"3,013.30 €",2.58
Santiago,7.02 €,40.97 €,5.85 €,3.51 €,3.51 €,2.62 €,1.10 €,0.94 €,Edit,0.97 €,1.11 €,1.19 €,2.52 €,7.75 €,4.38 €,8.32 €,1.44 €,1.24 €,1.34 €,1.36 €,0.86 €,1.07 €,0.85 €,1.08 €,4.68 €,1.12 €,2.02 €,4.68 €,Edit,0.94 €,46.82 €,0.35 €,1.17 €,9.83 €,0.95 €,"15,615.90 €","15,540.88 €",Edit,147.77 €,0.13 €,29.75 €,Edit,31.95 €,16.60 €,5.85 €,Edit,319.10 €,"5,964.52 €",Edit,46.96 €,27.68 €,49.02 €,69.30 €,Edit,392.00 €,358.54 €,750.22 €,641.10 €,Edit,"2,296.54 €","2,016.48 €",Edit,560.76 €,4.00
Kuala Lumpur,2.74 €,16.25 €,3.05 €,3.05 €,4.06 €,2.27 €,0.53 €,0.30 €,Edit,1.38 €,0.65 €,1.03 €,1.29 €,8.07 €,2.85 €,7.13 €,2.01 €,1.13 €,1.96 €,0.97 €,0.75 €,0.81 €,0.80 €,0.48 €,15.24 €,2.08 €,3.15 €,3.66 €,Edit,0.60 €,20.31 €,0.71 €,0.61 €,3.25 €,0.39 €,"32,502.01 €","26,084.00 €",Edit,43.44 €,0.05 €,24.49 €,Edit,33.27 €,5.86 €,3.35 €,Edit,150.80 €,"7,343.27 €",Edit,40.68 €,22.75 €,58.70 €,53.28 €,Edit,385.96 €,237.09 €,737.02 €,459.20 €,Edit,"2,304.07 €","1,202.56 €",Edit,887.92 €,4.24
San Francisco,16.64 €,66.56 €,8.32 €,6.24 €,6.66 €,3.89 €,2.01 €,1.64 €,Edit,0.99 €,3.23 €,4.39 €,3.15 €,12.50 €,12.28 €,12.90 €,5.74 €,1.76 €,4.21 €,5.85 €,3.34 €,2.99 €,1.65 €,1.66 €,12.48 €,2.36 €,2.51 €,9.44 €,Edit,2.50 €,69.47 €,2.91 €,1.55 €,27.45 €,0.81 €,"20,798.75 €","17,762.44 €",Edit,138.99 €,0.12 €,53.90 €,Edit,69.45 €,18.18 €,12.48 €,Edit,"2,012.28 €","28,359.65 €",Edit,46.95 €,35.42 €,74.07 €,116.82 €,Edit,"2,590.71 €","2,117.49 €","6,219.90 €","3,845.99 €",Edit,"11,334.90 €","8,111.60 €",Edit,"6,414.56 €",3.64
Philadelphia,12.48 €,45.76 €,6.66 €,4.16 €,5.82 €,3.50 €,1.58 €,1.23 €,Edit,0.88 €,2.51 €,3.17 €,2.04 €,7.01 €,8.55 €,12.00 €,4.48 €,1.41 €,3.64 €,4.11 €,4.00 €,3.42 €,1.23 €,1.63 €,12.48 €,3.16 €,3.03 €,8.90 €,Edit,2.08 €,79.87 €,2.91 €,2.58 €,20.80 €,0.59 €,"18,011.72 €","16,964.99 €",Edit,125.06 €,0.08 €,50.89 €,Edit,29.25 €,29.73 €,10.82 €,Edit,780.54 €,"19,245.78 €",Edit,37.89 €,25.11 €,61.38 €,83.31 €,Edit,"1,388.24 €",922.42 €,"2,340.79 €","1,358.34 €",Edit,"3,693.47 €","1,142.74 €",Edit,"2,764.60 €",3.74
Wuhan,2.57 €,19.27 €,4.88 €,1.03 €,1.93 €,2.98 €,0.39 €,0.22 €,Edit,1.50 €,2.48 €,0.80 €,2.03 €,15.85 €,3.44 €,15.85 €,1.61 €,0.97 €,1.69 €,1.44 €,0.94 €,1.21 €,0.96 €,0.80 €,7.71 €,0.87 €,1.51 €,2.57 €,Edit,0.39 €,17.35 €,1.28 €,0.26 €,6.17 €,0.96 €,"17,989.50 €","17,064.32 €",Edit,40.08 €,0.03 €,14.50 €,Edit,29.99 €,7.45 €,4.50 €,Edit,394.67 €,"47,864.91 €",Edit,52.08 €,37.39 €,85.65 €,61.00 €,Edit,255.57 €,170.72 €,587.41 €,359.79 €,Edit,"3,765.75 €","1,686.52 €",Edit,644.45 €,4.83
Miami,12.48 €,58.24 €,6.66 €,4.99 €,6.66 €,3.56 €,1.62 €,1.24 €,Edit,0.85 €,2.52 €,4.25 €,2.37 €,10.26 €,8.69 €,11.94 €,4.33 €,1.35 €,3.39 €,3.74 €,1.97 €,1.84 €,1.64 €,1.52 €,9.15 €,2.17 €,2.27 €,6.24 €,Edit,2.08 €,93.59 €,2.50 €,1.34 €,19.97 €,0.54 €,"19,134.85 €","17,596.61 €",Edit,118.11 €,0.16 €,55.21 €,Edit,44.55 €,12.48 €,12.48 €,Edit,708.35 €,"17,803.73 €",Edit,40.16 €,30.86 €,71.07 €,85.72 €,Edit,"1,566.05 €","1,117.82 €","3,039.87 €","2,111.13 €",Edit,"3,939.84 €","2,308.39 €",Edit,"2,814.44 €",3.86
Dallas,12.48 €,49.92 €,6.66 €,4.16 €,5.82 €,3.60 €,1.71 €,1.25 €,Edit,0.66 €,2.27 €,3.03 €,1.77 €,7.22 €,6.96 €,10.75 €,2.81 €,1.43 €,2.25 €,2.26 €,1.92 €,1.76 €,1.06 €,1.31 €,9.98 €,2.35 €,2.20 €,6.24 €,Edit,2.50 €,79.87 €,2.16 €,0.93 €,17.47 €,0.43 €,"18,718.87 €","17,212.56 €",Edit,135.03 €,0.12 €,50.42 €,Edit,33.85 €,7.07 €,9.98 €,Edit,881.07 €,"13,015.38 €",Edit,39.67 €,34.24 €,61.31 €,75.31 €,Edit,"1,265.73 €",918.59 €,"2,485.09 €","1,468.92 €",Edit,"2,520.63 €","1,386.07 €",Edit,"4,341.91 €",3.77
Madrid,12.00 €,50.00 €,8.00 €,3.00 €,3.00 €,2.04 €,1.97 €,1.54 €,Edit,0.82 €,0.97 €,1.08 €,1.99 €,9.95 €,6.47 €,11.14 €,2.12 €,1.82 €,1.72 €,1.88 €,1.25 €,1.24 €,0.98 €,0.72 €,5.00 €,1.06 €,1.66 €,5.38 €,Edit,1.50 €,54.60 €,3.00 €,1.10 €,24.00 €,1.27 €,"21,000.00 €","23,602.17 €",Edit,130.07 €,0.21 €,41.91 €,Edit,40.12 €,11.81 €,9.00 €,Edit,450.68 €,"7,833.33 €",Edit,71.12 €,29.48 €,76.24 €,88.80 €,Edit,887.42 €,661.91 €,"1,610.17 €","1,108.82 €",Edit,"5,017.99 €","3,047.31 €",Edit,"1,606.87 €",2.08
Ahmedabad,1.74 €,7.86 €,2.81 €,2.13 €,4.49 €,1.49 €,0.37 €,0.18 €,Edit,0.61 €,0.41 €,0.61 €,0.82 €,5.19 €,3.13 €,5.40 €,1.53 €,0.48 €,0.85 €,0.49 €,0.34 €,0.42 €,0.61 €,0.32 €,10.11 €,1.82 €,2.76 €,3.71 €,Edit,0.22 €,5.61 €,0.56 €,0.17 €,0.95 €,0.86 €,"10,105.27 €","19,240.84 €",Edit,36.68 €,0.01 €,7.61 €,Edit,14.83 €,8.47 €,2.81 €,Edit,44.82 €,"1,072.91 €",Edit,26.68 €,30.97 €,36.63 €,28.88 €,Edit,144.89 €,90.89 €,311.15 €,199.86 €,Edit,842.86 €,466.18 €,Edit,306.49 €,8.79
Boston,16.64 €,66.56 €,7.49 €,5.82 €,6.66 €,3.63 €,1.93 €,1.52 €,Edit,0.76 €,2.63 €,4.44 €,2.12 €,12.83 €,9.37 €,13.69 €,4.21 €,1.34 €,3.82 €,4.47 €,0.98 €,3.10 €,1.73 €,2.08 €,12.48 €,2.18 €,2.94 €,9.98 €,Edit,2.25 €,74.88 €,2.50 €,1.55 €,23.29 €,0.54 €,"18,718.87 €","17,933.14 €",Edit,149.48 €,0.07 €,53.17 €,Edit,53.69 €,17.83 €,12.48 €,Edit,"1,618.70 €","21,838.69 €",Edit,38.07 €,32.64 €,66.00 €,96.14 €,Edit,"2,218.91 €","1,609.17 €","3,379.43 €","2,355.42 €",Edit,"10,294.55 €","4,913.42 €",Edit,"4,353.40 €",3.63
Belo Horizonte,2.75 €,18.36 €,4.59 €,1.07 €,1.68 €,0.98 €,0.71 €,0.40 €,Edit,0.58 €,0.97 €,1.00 €,1.19 €,4.30 €,1.93 €,4.74 €,1.04 €,0.63 €,0.55 €,0.76 €,0.61 €,0.65 €,0.49 €,0.51 €,5.35 €,0.79 €,1.58 €,1.38 €,Edit,0.69 €,41.30 €,0.72 €,0.45 €,4.01 €,0.75 €,"13,003.20 €","15,283.97 €",Edit,46.61 €,0.20 €,17.41 €,Edit,18.25 €,20.79 €,3.82 €,Edit,166.26 €,"5,081.80 €",Edit,32.44 €,27.73 €,57.91 €,45.35 €,Edit,231.55 €,151.59 €,411.75 €,279.77 €,Edit,"1,362.11 €",850.31 €,Edit,252.22 €,11.70
Khartoum,2.50 €,11.50 €,4.16 €,2.08 €,2.50 €,1.42 €,0.35 €,0.18 €,Edit,0.71 €,1.10 €,1.32 €,0.89 €,4.29 €,4.29 €,5.56 €,11.91 €,0.45 €,1.74 €,3.93 €,1.00 €,1.10 €,0.40 €,0.36 €,12.48 €,0.83 €,1.66 €,1.75 €,Edit,0.08 €,16.64 €,1.25 €,0.42 €,4.99 €,1.32 €,"27,454.35 €","27,340.73 €",Edit,20.57 €,0.02 €,83.14 €,Edit,11.88 €,9.95 €,1.11 €,Edit,57.22 €,"1,172.88 €",Edit,18.20 €,88.44 €,40.42 €,39.33 €,Edit,346.96 €,184.13 €,577.25 €,389.90 €,Edit,785.73 €,508.42 €,Edit,82.88 €,12.00
Saint Petersburg,6.63 €,23.76 €,3.31 €,2.21 €,2.65 €,1.64 €,0.64 €,0.44 €,Edit,0.73 €,0.57 €,0.91 €,1.02 €,7.20 €,3.05 €,5.43 €,1.19 €,0.70 €,1.10 €,1.72 €,0.45 €,0.37 €,0.74 €,0.45 €,5.52 €,0.72 €,1.44 €,1.88 €,Edit,0.61 €,33.15 €,1.10 €,0.22 €,3.31 €,0.53 €,"14,364.66 €","15,626.45 €",Edit,89.65 €,0.02 €,5.63 €,Edit,25.46 €,13.77 €,3.87 €,Edit,301.00 €,"5,053.22 €",Edit,61.25 €,29.83 €,61.15 €,80.92 €,Edit,421.32 €,270.46 €,825.97 €,513.43 €,Edit,"2,305.80 €","1,350.42 €",Edit,536.50 €,8.45
Shenyang,2.89 €,17.35 €,3.63 €,0.51 €,2.06 €,3.05 €,0.37 €,0.24 €,Edit,1.93 €,1.18 €,1.03 €,1.77 €,14.13 €,2.83 €,13.28 €,1.67 €,1.03 €,2.06 €,1.46 €,1.41 €,0.66 €,0.71 €,0.51 €,12.21 €,0.47 €,2.28 €,3.21 €,Edit,0.26 €,12.21 €,1.03 €,0.32 €,7.71 €,0.91 €,"19,480.06 €","17,381.28 €",Edit,60.91 €,0.03 €,13.28 €,Edit,19.81 €,1.61 €,4.50 €,Edit,343.09 €,"12,207.16 €",Edit,72.81 €,68.53 €,83.52 €,107.08 €,Edit,254.24 €,189.07 €,475.44 €,304.11 €,Edit,"2,307.69 €","1,440.34 €",Edit,684.24 €,5.13
Houston,12.48 €,41.60 €,6.66 €,4.16 €,5.41 €,3.27 €,1.40 €,1.27 €,Edit,0.67 €,2.02 €,2.47 €,1.64 €,7.99 €,6.41 €,9.67 €,3.11 €,1.05 €,2.68 €,2.46 €,1.64 €,1.67 €,1.14 €,1.21 €,9.98 €,1.77 €,1.97 €,5.95 €,Edit,1.04 €,33.28 €,2.50 €,1.19 €,19.97 €,0.45 €,"19,966.80 €","18,197.92 €",Edit,120.69 €,0.17 €,53.18 €,Edit,33.39 €,14.23 €,9.98 €,Edit,740.15 €,"16,500.34 €",Edit,35.99 €,28.13 €,62.68 €,82.45 €,Edit,"1,177.62 €",821.23 €,"2,061.93 €","1,434.17 €",Edit,"2,285.20 €","1,098.32 €",Edit,"3,794.73 €",3.49
Pune,2.81 €,12.35 €,3.37 €,2.25 €,3.59 €,1.59 €,0.44 €,0.18 €,Edit,0.60 €,0.41 €,0.60 €,0.80 €,4.83 €,2.67 €,5.02 €,1.84 €,0.56 €,0.94 €,0.45 €,0.44 €,0.45 €,0.56 €,0.33 €,5.61 €,1.86 €,2.84 €,3.82 €,Edit,0.28 €,13.47 €,0.56 €,0.20 €,1.12 €,0.99 €,"11,228.08 €","18,746.88 €",Edit,25.72 €,0.01 €,10.56 €,Edit,16.57 €,5.52 €,3.26 €,Edit,64.71 €,"1,564.45 €",Edit,27.05 €,30.12 €,41.93 €,31.56 €,Edit,187.22 €,118.89 €,414.56 €,273.19 €,Edit,"1,479.40 €",777.66 €,Edit,442.67 €,8.51
Riyadh,5.55 €,33.27 €,5.55 €,1.11 €,1.33 €,2.88 €,0.62 €,0.22 €,Edit,1.20 €,0.61 €,1.53 €,1.69 €,5.50 €,6.04 €,9.42 €,1.59 €,1.22 €,1.30 €,1.26 €,0.84 €,0.84 €,0.85 €,0.48 €,3.55 €,1.30 €,1.42 €,6.21 €,Edit,0.70 €,44.36 €,2.22 €,0.67 €,11.09 €,0.36 €,"16,636.69 €","15,704.21 €",Edit,91.10 €,0.11 €,55.38 €,Edit,78.87 €,25.85 €,13.31 €,Edit,252.48 €,"5,580.89 €",Edit,56.12 €,53.32 €,75.82 €,78.19 €,Edit,456.83 €,251.13 €,755.66 €,483.65 €,Edit,980.86 €,738.66 €,Edit,"1,558.97 €",4.45
Washington,12.48 €,66.56 €,6.66 €,5.62 €,6.66 €,3.85 €,1.97 €,1.64 €,Edit,0.77 €,2.42 €,4.23 €,2.25 €,9.55 €,8.96 €,12.37 €,4.93 €,1.21 €,4.59 €,3.67 €,1.97 €,2.11 €,1.76 €,1.48 €,9.98 €,2.29 €,2.20 €,9.57 €,Edit,2.50 €,83.19 €,2.91 €,1.73 €,24.96 €,0.57 €,"19,966.80 €","17,278.28 €",Edit,127.75 €,0.13 €,51.12 €,Edit,65.39 €,12.06 €,11.65 €,Edit,"1,457.85 €","28,689.59 €",Edit,46.84 €,32.35 €,72.99 €,96.62 €,Edit,"1,953.55 €","1,521.83 €","3,509.11 €","2,707.83 €",Edit,"6,069.54 €","3,145.73 €",Edit,"4,484.18 €",3.67
Yangon,2.94 €,20.80 €,4.16 €,0.83 €,1.25 €,1.87 €,0.54 €,0.28 €,Edit,1.16 €,0.72 €,0.90 €,1.26 €,12.48 €,4.58 €,6.85 €,2.08 €,0.73 €,2.22 €,1.35 €,0.85 €,0.80 €,1.23 €,0.41 €,12.48 €,0.98 €,1.28 €,1.82 €,Edit,0.12 €,8.66 €,1.22 €,0.83 €,3.81 €,0.64 €,"20,910.83 €","18,211.39 €",Edit,23.56 €,0.02 €,66.26 €,Edit,37.36 €,7.75 €,3.33 €,Edit,354.41 €,"8,053.28 €",Edit,38.70 €,40.78 €,72.14 €,73.77 €,Edit,689.33 €,317.18 €,"1,289.52 €",925.54 €,Edit,759.57 €,258.17 €,Edit,185.18 €,12.20
Milan,15.00 €,70.00 €,8.00 €,5.00 €,5.00 €,1.66 €,2.60 €,1.33 €,Edit,1.23 €,1.70 €,2.31 €,2.93 €,13.18 €,9.76 €,17.10 €,1.98 €,1.94 €,2.15 €,2.44 €,1.48 €,1.36 €,1.00 €,0.50 €,6.00 €,1.46 €,2.27 €,5.80 €,Edit,2.00 €,39.00 €,6.00 €,1.50 €,30.00 €,1.52 €,"23,900.00 €","24,620.59 €",Edit,155.27 €,0.17 €,27.91 €,Edit,58.81 €,27.50 €,10.00 €,Edit,634.00 €,"14,208.33 €",Edit,80.20 €,32.60 €,84.50 €,125.21 €,Edit,"1,123.66 €",741.84 €,"2,594.05 €","1,552.63 €",Edit,"8,239.85 €","3,697.00 €",Edit,"1,632.20 €",1.75
